지점,평가그룹,영업팀,채널,유통,트롬 건조기 수당,통돌이 수당,스타일러 수당,DIOS 수당,일반 김치 기타 수당,청소기 수당,식기세척기 수당,조리기기 수당,TV 수당,사운드바 수당,에어컨 수당,에어케어 수당,정수기 수당,가전수당계,PC 수당,"올레드48""↓ 수당",시네빔 수당,모니터 수당,포터블 수당,톤플러스 수당,pc수당계,지점수당,트롬 건조기 수량,통돌이 수량,스타일러 수량,DIOS 수량,일반 김치 기타 수량,청소기 수량,식기세척기 수량,조리기기 수량,TV 수량,사운드바 수량,에어컨 수량,에어케어 수량,정수기 수량,가전수량계,PC 수량,"올레드48""↓ 수량",시네빔 수량,모니터 수량,포터블 수량,톤플러스 수량,PC수량계,지점수량계
(신)이마트 구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,"140,000 ",0 ,0 ,0 ,"45,000 ","15,000 ",0 ,0 ,0 ,0 ,"30,000 ","20,000 ",0 ,"250,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"250,000 ",4,0,0,0,2,1,0,0,0,0,2,2,0,11,0,0,0,0,0,0,0,11
신 홈플러스 문경점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신 홈플러스 안동점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"30,000 ",0 ,0 ,"20,000 ","180,000 ","230,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"230,000 ",0,0,0,0,0,0,0,0,1,0,0,1,2,4,0,0,0,0,0,0,0,4
신 홈플러스 영주점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"180,000 ","180,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"180,000 ",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2
전자랜드 안양비산점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,0 ,0 ,0 ,0 ,0 ,0 ,"50,000 ",0 ,0 ,0 ,0 ,0 ,0 ,"50,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"50,000 ",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
전자랜드 가든파이브점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,"25,000 ",0 ,0 ,0 ,0 ,0 ,"50,000 ",0 ,"20,000 ",0 ,0 ,0 ,"130,000 ","225,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"225,000 ",1,0,0,0,0,0,1,0,1,0,0,0,2,5,0,0,0,0,0,0,0,5
전자랜드 경기광주점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,0 ,"40,000 ",0 ,"15,000 ","10,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"50,000 ","115,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"115,000 ",0,4,0,1,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,8
전자랜드 오산점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,"90,000 ","90,000 ","40,000 ","105,000 ","70,000 ","35,000 ",0 ,"70,000 ","61,500 ",0 ,0 ,0 ,"80,000 ","641,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"641,500 ",3,5,1,2,4,2,0,3,3,0,0,2,1,26,0,0,0,0,0,0,0,26
전자랜드 평택본점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,"30,000 ","60,000 ",0 ,0 ,"95,000 ","60,000 ",0 ,"20,000 ",0 ,0 ,0 ,"10,000 ","100,000 ","375,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"375,000 ",1,3,0,0,4,2,0,2,0,0,0,1,1,14,0,0,0,0,0,0,0,14
전자랜드 발안점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,"140,000 ","10,000 ",0 ,"15,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"80,000 ","245,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"245,000 ",4,1,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,7
